power,energy,effi,storage,charge,discharge,profit,Revenew
72100,20000,0.45,[5.78041619],2.2513143485026834,1.4285714285714286,[6.31838579],17558.220839716494
72200,20000,0.45,[0.],0.0,0.0,[0.],0.0
40000,25000,0.45,[5.74007446],2.9803056662030447,1.4285714285714286,[1599.17411779],18515.204580479447
60000,25000,0.45,[0.],0.0,0.0,[0.],0.0
50000,25000,0.45,[4.32308111],2.2438407033253482,1.4285714285714286,[364.92451619],14775.557282139052
60000,25000,0.45,[0.],0.0,0.0,[0.],0.0
55000,25000,0.45,[0.],0.0,0.0,[0.],0.0
51000,25000,0.45,[4.31583609],2.240080267401765,1.4285714285714286,[250.94481938],14755.854552731278
52000,25000,0.45,[4.31152025],2.237840187134363,1.4285714285714286,[137.0292846],14744.037819777019
53000,25000,0.45,[4.31152025],2.235600109109282,1.4285714285714286,[23.19306492],14740.875071770593
54000,25000,0.45,[0.],0.0,0.0,[0.],0.0
53500,25000,0.45,[0.],0.0,0.0,[0.],0.0
53100,25000,0.45,[4.31152025],2.234854412936391,1.4285714285714286,[11.81421984],14739.813269797283
53200,25000,0.45,[4.31152025],2.2344968309787294,1.4285714285714286,[0.43677017],14739.303174596524
53300,25000,0.45,[0.],0.0,0.0,[0.],0.0
40000,30000,0.45,[0.],0.0,0.0,[0.],0.0
30000,30000,0.45,[4.28786286],3.3366727866780703,1.4285714285714286,[1118.04625989],15785.163264782605
40000,30000,0.45,[0.],0.0,0.0,[0.],0.0
35000,30000,0.45,[2.93390854],2.283070403501832,1.4285714285714286,[466.9485613],11587.569490900189
40000,30000,0.45,[0.],0.0,0.0,[0.],0.0
36000,30000,0.45,[2.90760874],2.2544001652307353,1.4285714285714286,[352.35706513],11496.761943495647
37000,30000,0.45,[2.90470113],2.2491304501896585,1.4285714285714286,[238.16094554],11484.607280214976
38000,30000,0.45,[2.89599574],2.2431298037343956,1.4285714285714286,[124.08074632],11457.52324776771
39000,30000,0.45,[2.89309975],2.2356560956461276,1.4285714285714286,[10.2036035],11442.82252347135
40000,30000,0.45,[0.],0.0,0.0,[0.],0.0
39500,30000,0.45,[0.],0.0,0.0,[0.],0.0
39100,30000,0.45,[2.89309975],2.2356560956461276,1.4285714285714286,[-1.17661141],11442.82252347135
40000,2000,0.5,[286.86467548],46.63621336588171,1.4285714285714286,[93299.18722814],191765.81392979788
60000,2000,0.5,[240.81725461],27.0164439720885,1.4285714285714286,[73372.77610433],158930.55349048084
80000,2000,0.5,[200.15015405],20.1540413016316,1.4285714285714286,[59816.29788864],139662.7232887233
100000,2000,0.5,[175.20382621],15.723308095561165,1.4285714285714286,[49229.12250114],125056.88267846013
120000,2000,0.5,[153.39963399],12.734277663111051,1.4285714285714286,[40508.61635138],112710.71232345956
140000,2000,0.5,[129.58801564],10.387126595279062,1.4285714285714286,[33306.33079057],100761.93363398754
160000,2000,0.5,[115.14887474],8.615821351806337,1.4285714285714286,[27181.48938086],91354.18736039847
180000,2000,0.5,[105.28787771],6.790154421833523,1.4285714285714286,[22011.55328769],81474.39936215473
200000,2000,0.5,[97.36562893],5.677092083553616,1.4285714285714286,[17621.90125456],74553.03719629401
220000,2000,0.5,[88.76602256],4.672112700562676,1.4285714285714286,[13764.40017178],67497.74667475303
240000,2000,0.5,[80.30593716],3.9327248056750403,1.4285714285714286,[10396.35537645],61586.43771507222
260000,2000,0.5,[75.42687552],3.4408417487110423,1.4285714285714286,[7342.23077689],57499.81512193853
280000,2000,0.5,[68.38081006],2.935131786329328,1.4285714285714286,[4565.53337437],52709.209980280226
